piece,perf,winner,delta,ar_hyb,ar_dix,chroma_stab_mean,chroma_stab_std,spec_flat_mean,spec_flat_std,spec_centroid_mean,spec_centroid_std,onset_density,rms_mean,rms_std,tempo_estimate,duration_sec,silent_frac,chroma_entropy_mean,low_chroma_ratio,high_chroma_ratio
chopin_ballade1,BuiJL04M,hybrid,26.799387442572737,48.698315467075034,21.898928024502297,0.7434959407319116,0.07692745572410897,0.00044635258382186294,0.0033041408751159906,813.5023173447961,285.7899334070743,2.1204783063622004,0.05183509737253189,0.050747428089380264,103.359375,559.7793650793651,0.10419777667164427,1.829829216003418,0.362975150346756,0.6370249390602112
chopin_ballade1,JIA06M,hybrid,4.747320061255742,16.998468606431853,12.251148545176111,0.7668680276412762,0.06333609876523426,5.3793872211826965e-05,0.00012201773643027991,715.4868902175207,193.19906296619772,1.8383754599672384,0.05980205163359642,0.051997482776641846,143.5546875,552.6618594104308,0.11751113351819174,1.9166969060897827,0.3471665680408478,0.6528335213661194
chopin_ballade1,KimSuyeon04M,hybrid,31.852986217457886,49.15773353751914,17.304747320061256,0.7616972441203984,0.0681317355322048,0.0002714768925216049,0.004525933880358934,779.209539652244,239.5591243955089,2.064424782588585,0.07742619514465332,0.05621654540300369,151.99908088235293,528.4765079365079,0.09152021089630931,1.9004242420196533,0.30869144201278687,0.6913085579872131
chopin_ballade1,Mo07M,dixon,-14.24196018376723,14.854517611026033,29.096477794793262,0.7473675388706127,0.07790491458548743,0.00029743631603196263,0.001079234411008656,864.5557032762113,194.79077238194517,2.0523868488677808,0.02693629078567028,0.02551012672483921,112.34714673913044,591.0191836734693,0.12092401980042429,1.8404444456100464,0.3239017128944397,0.676098108291626
chopin_ballade1,Richardson13M,dixon,-1.0719754977029083,16.539050535987748,17.611026033690656,0.755791537491709,0.06701063577356157,0.000170579893165268,0.0007942054653540254,867.7489707217346,197.3118011762083,2.261667865678334,0.0374845415353775,0.029233168810606003,151.99908088235293,512.0115192743764,0.15962994875515849,1.889824628829956,0.2935757339000702,0.7064241766929626
chopin_ballade1,Sladek04M,dixon,-16.69218989280245,8.88208269525268,25.57427258805513,0.7547821356362048,0.0675352514836464,7.117652421584353e-05,0.00039573278627358377,723.0024812595968,183.4076199455465,2.029788571170445,0.06087927520275116,0.04066674783825874,117.45383522727273,503.9933786848073,0.13466322675757855,1.8625404834747314,0.30229106545448303,0.6977088451385498
chopin_ballade1,Zhou06M,dixon,-1.6845329249617151,23.27718223583461,24.961715160796324,0.7627960843269271,0.07034500458450245,9.377575042890385e-05,0.00043995847227051854,740.1811636467313,207.60952965292446,1.482793490402209,0.07217177003622055,0.050838496536016464,151.99908088235293,540.1965986394558,0.10401891252955082,1.888166904449463,0.3058127760887146,0.6941872835159302
chopin_ballade_2,Denisova17M,dixon,-61.764705882352935,19.852941176470587,81.61764705882352,0.7872048953807077,0.04968441647126382,6.807706085965037e-05,0.00015671919391024858,693.2744784790934,162.79328664984402,1.691830604280969,0.06609072536230087,0.05320984497666359,151.99908088235293,341.641768707483,0.10085632730732635,1.988638997077942,0.30093663930892944,0.6990633606910706
chopin_ballade_2,Gasanov08M,dixon,-7.352941176470594,63.725490196078425,71.07843137254902,0.7985882189935161,0.05199588900179929,7.782457396388054e-05,0.0001766963687259704,719.0913308187335,246.56765812848505,2.045467325184913,0.04554906487464905,0.04280082881450653,135.99917763157896,428.2639909297052,0.24208414660594232,2.0331637859344482,0.3214598000049591,0.6785402894020081
chopin_ballade_2,Tetzloff06M,dixon,-47.30392156862745,18.38235294117647,65.68627450980392,0.7662587618168827,0.06316343253780737,6.757504888810217e-05,0.00015482850722037256,678.0084561272882,171.6591223971879,1.6849831630877004,0.052428245544433594,0.0510660856962204,143.5546875,412.4670294784581,0.14450574195001126,1.9172056913375854,0.32498952746391296,0.6750105023384094
chopin_ballade_3,Ko11M,dixon,0.0,89.1891891891892,89.1891891891892,0.773224401876421,0.05761758944613393,7.068955164868385e-05,0.00019373561372049153,730.0260162071602,197.1038091189733,2.8337699334355984,0.06371814012527466,0.05001794546842575,129.19921875,419.5824036281179,0.13453237410071942,1.9525219202041626,0.3502664864063263,0.6497335433959961
