piece,perf,condition,elapsed_s,slow_beats,n_beats,AR@100,AR@500,AR@1000,MedAE_ms,MaxAE_ms,MeanAE_ms,LR500_K5
chopin_ballade1,BuiJL04M,C1_dixon_baseline,175.8,416,653,7.044410413476264,21.898928024502297,28.637059724349157,13112.49966666668,65122.91666666667,19972.48437570189,8.88208269525268
chopin_ballade1,BuiJL04M,C6_dixon_directional,222.9,416,653,0.0,0.1531393568147014,0.3062787136294028,27804.166500000007,57306.25033333334,27502.54994053089,0.0
chopin_ballade1,JIA06M,C1_dixon_baseline,182.0,416,653,6.1255742725880555,12.251148545176111,14.701378254211333,26646.874666666663,48266.66666666665,23685.51597753956,6.1255742725880555
chopin_ballade1,JIA06M,C6_dixon_directional,219.3,416,653,0.3062787136294028,0.7656967840735069,1.5313935681470139,27564.062833333308,71572.39583333318,33481.398764675854,0.0
chopin_ballade_2,Denisova17M,C1_dixon_baseline,92.9,0,408,33.82352941176471,81.61764705882352,85.7843137254902,163.54199999999963,18487.239999999987,753.8209640522881,63.23529411764706
chopin_ballade_2,Denisova17M,C6_dixon_directional,91.9,0,408,33.82352941176471,81.61764705882352,85.7843137254902,163.54199999999963,18487.239999999987,753.8209640522881,63.23529411764706
chopin_ballade_2,Gasanov08M,C1_dixon_baseline,110.7,0,408,32.1078431372549,71.07843137254902,81.86274509803921,209.96099999999274,12534.63566666666,801.464239379087,51.71568627450981
chopin_ballade_2,Gasanov08M,C6_dixon_directional,110.7,0,408,32.1078431372549,71.07843137254902,81.86274509803921,209.96099999999274,12534.63566666666,801.464239379087,51.71568627450981
bach_prelude_848,Denisova06M,C1_dixon_baseline,16.2,0,310,91.93548387096774,99.03225806451613,99.35483870967742,43.359500000001105,5012.110333333333,73.27663978494623,96.45161290322581
bach_prelude_848,Denisova06M,C6_dixon_directional,16.4,0,310,91.93548387096774,99.03225806451613,99.35483870967742,43.359500000001105,5012.110333333333,73.27663978494623,96.45161290322581
bach_prelude_848,Lee01M,C1_dixon_baseline,17.0,0,310,87.41935483870968,95.48387096774194,97.41935483870968,56.249833333335886,5483.463333333334,127.66782150537684,89.6774193548387
bach_prelude_848,Lee01M,C6_dixon_directional,16.5,0,310,87.41935483870968,95.48387096774194,97.41935483870968,56.249833333335886,5483.463333333334,127.66782150537684,89.6774193548387
