piece,perf,condition,elapsed_s,slow_beats,n_beats,AR@100,AR@500,AR@1000,MedAE_ms,MaxAE_ms,MeanAE_ms,LR500_K5
chopin_ballade1,BuiJL04M,C1_baseline,0.0,416,653,5.053598774885145,10.413476263399694,11.485451761102604,47542.71,152540.1,54115.121026033696,6.278713629402756
chopin_ballade1,BuiJL04M,C5_directional,0.0,416,653,16.38591117917305,35.52833078101072,41.19448698315467,2061.46,29916.67,6542.559142419602,26.339969372128635
chopin_ballade1,JIA06M,C1_baseline,0.0,416,653,3.3690658499234303,8.575803981623277,11.638591117917304,46393.75,149205.73,53515.67241960184,3.522205206738132
chopin_ballade1,JIA06M,C5_directional,0.0,416,653,16.079632465543643,32.618683001531394,39.81623277182236,2650.0,31522.92,6538.522664624808,20.82695252679939
chopin_ballade1,KimSuyeon04M,C1_baseline,112.8,416,653,4.747320061255743,9.80091883614089,11.791730474732006,57100.78,165770.83,60592.36990811638,5.206738131699847
chopin_ballade1,KimSuyeon04M,C5_directional,102.1,416,653,13.782542113323123,34.30321592649311,44.257274119448695,1749.61,28813.28,5120.727503828484,21.286370597243494
chopin_ballade1,Mo07M,C1_baseline,129.3,416,653,4.594180704441041,8.728943338437979,12.251148545176111,66771.61,163866.8,64595.58137825421,1.8376722817764166
chopin_ballade1,Mo07M,C5_directional,121.2,416,653,19.448698315467077,34.30321592649311,37.67228177641654,3301.3,33686.46,7815.102251148544,26.79938744257274
chopin_ballade1,Richardson13M,C1_baseline,107.5,416,653,5.206738131699847,10.260336906584993,11.944869831546708,64825.26,161852.86,62480.35656967841,6.738131699846861
chopin_ballade1,Richardson13M,C5_directional,107.5,416,653,1.3782542113323124,3.828483920367534,7.3506891271056665,22918.75,105895.31,33411.42898928025,0.6125574272588056
chopin_ballade1,Sladek04M,C1_baseline,105.3,416,653,4.900459418070445,10.260336906584993,12.404287901990811,65931.77,168693.23,65806.04188361407,4.287901990811639
chopin_ballade1,Sladek04M,C5_directional,105.1,416,653,4.747320061255743,8.88208269525268,10.566615620214396,62282.03,164096.09,61751.950260336904,4.287901990811639
chopin_ballade1,Zhou06M,C1_baseline,114.5,416,653,3.9816232771822357,10.413476263399694,12.251148545176111,61214.06,179464.06,66663.68332312406,6.431852986217458
chopin_ballade1,Zhou06M,C5_directional,115.1,416,653,4.594180704441041,11.944869831546708,17.76416539050536,19112.5,80023.96,27418.0375957121,5.053598774885145
