piece,perf,n_overrides,AR@500_p1,AR@500_p2,delta_AR500
chopin_scherzo_31,ChenW04M,18,30.28229255774166,28.443113772455092,-1.8391787852865669
chopin_scherzo_31,HuNY08M,18,32.12147134302823,0.0,-32.12147134302823
chopin_scherzo_31,Jussow11M,18,47.34816082121471,22.45508982035928,-24.893071000855432
chopin_scherzo_31,LeeN04M,18,35.115483319076134,0.0,-35.115483319076134
chopin_scherzo_31,LinTami06M,18,41.40290846877674,38.622754491017965,-2.780153977758772
chopin_scherzo_31,LuoJ12M,18,37.8956372968349,36.35585970915312,-1.539777587681776
chopin_scherzo_31,SunD04M,18,46.66381522668948,21.770744225834047,-24.893071000855432
chopin_scherzo_31,TongB04M,18,41.61676646706587,40.461933276304535,-1.1548331907613374
chopin_scherzo_31,TuanS05M,18,44.525235243798114,43.199315654405474,-1.3259195893926403
chopin_scherzo_31,ZhangW04M,18,41.91616766467065,39.64927288280582,-2.266894781864835
bps_31_1,ADIG05M,2,83.8150289017341,84.6820809248555,0.8670520231214027
bps_31_1,AbdelmoulaJS03M,2,73.121387283237,63.8728323699422,-9.248554913294797
bps_31_1,Ahfat02M,2,83.23699421965318,0.0,-83.23699421965318
bps_31_1,BrendleA03M,2,74.85549132947978,71.96531791907515,-2.8901734104046284
bps_31_1,HuangSW08M,2,68.20809248554913,0.0,-68.20809248554913
bps_31_1,LeungM03M,2,84.97109826589595,82.36994219653178,-2.6011560693641655
bps_31_1,Na06M,2,76.58959537572254,84.10404624277457,7.514450867052034
bps_31_1,Zuber04M,2,79.47976878612717,0.0,-79.47976878612717
