piece,perf,section,AR_Pass1,AR_Pass2,AR_Dixon,best_choice,best_AR
chopin_ballade1,KimSuyeon04M,691-703,100.0,75.0,100.0,Pass1,100.0
chopin_ballade1,KimSuyeon04M,703-736,72.72727272727273,72.72727272727273,63.63636363636363,Pass1,72.72727272727273
chopin_ballade1,KimSuyeon04M,736-808,54.166666666666664,70.83333333333334,8.333333333333332,Pass2,70.83333333333334
chopin_ballade1,KimSuyeon04M,808-1066,55.81395348837209,55.81395348837209,0.0,Pass1,55.81395348837209
chopin_ballade1,KimSuyeon04M,1066-1072,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,1072-1126,33.33333333333333,27.77777777777778,0.0,Pass1,33.33333333333333
chopin_ballade1,KimSuyeon04M,1126-1132,100.0,100.0,0.0,Pass1,100.0
chopin_ballade1,KimSuyeon04M,1132-1144,100.0,100.0,0.0,Pass1,100.0
chopin_ballade1,KimSuyeon04M,1144-1225,81.48148148148148,0.0,0.0,Pass1,81.48148148148148
chopin_ballade1,KimSuyeon04M,1225-1228,100.0,0.0,0.0,Pass1,100.0
chopin_ballade1,KimSuyeon04M,1228-1406,57.54189944134078,55.3072625698324,0.0,Pass1,57.54189944134078
chopin_ballade1,KimSuyeon04M,1406-1410,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,1410-1422,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,1422-1426,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,1426-1430,100.0,25.0,0.0,Pass1,100.0
chopin_ballade1,KimSuyeon04M,1430-1434,25.0,25.0,0.0,Pass1,25.0
chopin_ballade1,KimSuyeon04M,1434-1462,66.66666666666666,66.66666666666666,0.0,Pass1,66.66666666666666
chopin_ballade1,Mo07M,0-28,0.0,0.0,10.344827586206897,Dixon+CQT,10.344827586206897
chopin_ballade1,Mo07M,28-166,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,166-221,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,221-244,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,244-370,2.4390243902439024,0.0,0.0,Pass1,2.4390243902439024
chopin_ballade1,Mo07M,370-387,16.666666666666664,0.0,0.0,Pass1,16.666666666666664
chopin_ballade1,Mo07M,387-532,87.5,0.0,0.0,Pass1,87.5
chopin_ballade1,Mo07M,532-691,90.56603773584906,0.0,0.0,Pass1,90.56603773584906
chopin_ballade1,Mo07M,691-703,75.0,0.0,0.0,Pass1,75.0
chopin_ballade1,Mo07M,703-736,18.181818181818183,0.0,0.0,Pass1,18.181818181818183
chopin_ballade1,Mo07M,736-808,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,808-1066,0.0,86.04651162790698,40.69767441860465,Pass2,86.04651162790698
chopin_ballade1,Mo07M,1066-1072,0.0,100.0,100.0,Pass2,100.0
chopin_ballade1,Mo07M,1072-1126,0.0,94.44444444444444,77.77777777777779,Pass2,94.44444444444444
chopin_ballade1,Mo07M,1126-1132,0.0,100.0,100.0,Pass2,100.0
chopin_ballade1,Mo07M,1132-1144,0.0,0.0,75.0,Dixon+CQT,75.0
chopin_ballade1,Mo07M,1144-1225,0.0,0.0,37.03703703703704,Dixon+CQT,37.03703703703704
chopin_ballade1,Mo07M,1225-1228,0.0,0.0,100.0,Dixon+CQT,100.0
chopin_ballade1,Mo07M,1228-1406,0.0,53.072625698324025,67.0391061452514,Dixon+CQT,67.0391061452514
chopin_ballade1,Mo07M,1406-1410,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,1410-1422,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,1422-1426,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,1426-1430,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,1430-1434,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Mo07M,1434-1462,0.0,44.44444444444444,0.0,Pass2,44.44444444444444
chopin_ballade1,Richardson13M,0-28,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,28-166,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,166-221,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,221-244,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,244-370,14.634146341463413,2.4390243902439024,2.4390243902439024,Pass1,14.634146341463413
chopin_ballade1,Richardson13M,370-387,0.0,0.0,66.66666666666666,Dixon+CQT,66.66666666666666
chopin_ballade1,Richardson13M,387-532,83.33333333333334,0.0,91.66666666666666,Dixon+CQT,91.66666666666666
chopin_ballade1,Richardson13M,532-691,96.22641509433963,0.0,90.56603773584906,Pass1,96.22641509433963
chopin_ballade1,Richardson13M,691-703,75.0,0.0,100.0,Dixon+CQT,100.0
chopin_ballade1,Richardson13M,703-736,72.72727272727273,9.090909090909092,63.63636363636363,Pass1,72.72727272727273
chopin_ballade1,Richardson13M,736-808,0.0,0.0,4.166666666666666,Dixon+CQT,4.166666666666666
chopin_ballade1,Richardson13M,808-1066,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1066-1072,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1072-1126,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1126-1132,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1132-1144,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1144-1225,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1225-1228,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1228-1406,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1406-1410,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1410-1422,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1422-1426,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1426-1430,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1430-1434,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Richardson13M,1434-1462,0.0,0.0,33.33333333333333,Dixon+CQT,33.33333333333333
chopin_ballade1,Sladek04M,0-28,0.0,0.0,24.137931034482758,Dixon+CQT,24.137931034482758
