piece,perf,rho,n_beats,AR@100,AR@500,AR@1000,MedAE_ms,MaxAE_ms,MeanAE_ms,LR500_K5
chopin_scherzo_31,ChenW04M,0.799512240779636,2338,16.937553464499572,41.91616766467065,52.18135158254918,891.6670000000124,22840.625666666652,3910.3902757342466,32.50641573994867
chopin_scherzo_31,HuNY08M,0.8364312191942646,2338,21.685201026518392,38.40889649272883,74.72198460222413,631.9010000000276,10330.729333333351,976.1663684060453,30.367835757057314
chopin_scherzo_31,Jussow11M,1.0210963249431353,2338,16.424294268605646,28.143712574850298,29.21300256629598,74850.26033333335,106236.97900000002,53337.90280610208,25.149700598802394
chopin_scherzo_31,LeeN04M,0.8562499949879752,2338,19.546621043627034,37.81009409751925,68.73396065012831,654.2379999999853,29927.08399999998,3404.7485806957516,29.17023096663815
chopin_scherzo_31,LinTami06M,0.87676609421003,2338,18.434559452523523,42.64328485885372,64.75620188195037,609.0168333332997,22535.546333333343,2950.1191351582565,31.993156544054745
chopin_scherzo_31,LuoJ12M,0.9077191586457126,2338,20.70145423438837,39.777587681779295,75.70573139435415,585.416500000008,9644.271333333336,1024.8268592814375,29.769033361847736
chopin_scherzo_31,SunD04M,0.9371742090810905,2338,20.958083832335326,37.211291702309666,61.50556030795552,679.9478333333013,16771.874999999967,2865.8150894381947,31.18049615055603
chopin_scherzo_31,TongB04M,0.8635283489844847,2338,20.744225834046194,43.883661248930714,75.7912745936698,565.1038333333531,11029.20233333333,934.6210520387798,32.76304533789563
chopin_scherzo_31,TuanS05M,0.8329780627847468,2338,20.958083832335326,41.91616766467065,73.18220701454234,589.3230000000074,9981.25033333332,877.6866675220987,31.479897348160822
chopin_scherzo_31,ZhangW04M,0.9378397298234981,2338,20.487596236099233,29.683490162532078,31.137724550898206,33798.6981666667,61496.874666666714,27830.949380382095,26.94610778443114
bps_31_1,ADIG05M,0.9870527036945802,346,67.63005780346822,94.50867052023122,98.26589595375722,50.78158333333249,3516.1461666666673,151.82821146435427,78.03468208092485
bps_31_1,AbdelmoulaJS03M,1.0099446585459864,346,53.46820809248555,85.26011560693641,91.04046242774567,87.5650833333168,7543.229166666662,431.65605009633947,59.53757225433526
bps_31_1,Ahfat02M,0.9063781194007343,346,71.38728323699422,92.48554913294798,97.6878612716763,42.31799999999453,4903.1253333333325,166.26952721580136,74.85549132947978
bps_31_1,BrendleA03M,1.039239716064928,346,51.15606936416185,86.1271676300578,95.66473988439307,94.01016666666351,5501.302333333171,269.6543078034683,61.849710982658955
bps_31_1,HuangSW08M,0.9199212531728018,346,52.89017341040463,85.83815028901735,92.48554913294798,88.99749999999784,5080.729333333331,291.65061632947965,65.3179190751445
bps_31_1,LeungM03M,1.0767396716451179,346,76.58959537572254,93.9306358381503,97.39884393063583,40.82008333332965,4764.0625,152.00501204238947,83.8150289017341
bps_31_1,Na06M,1.0052062487751974,346,59.2485549132948,88.15028901734104,93.35260115606935,70.05216666668446,4415.885166666668,259.5821806358363,70.23121387283237
bps_31_1,Zuber04M,0.8883392481298017,346,43.35260115606936,76.01156069364163,84.39306358381504,132.81241666664556,15411.719000000005,1049.3004118497092,45.3757225433526
chopin_ballade_4,ChenC04M,1.0889062797555662,483,1.8633540372670807,4.140786749482402,4.761904761904762,49718.22900000001,71404.16633333334,40314.64872532782,0.8281573498964804
chopin_ballade_4,Kociuban07M,1.0137340203892804,483,21.94616977225673,60.66252587991718,68.73706004140787,305.728666666667,20573.03074999993,2443.310576432022,32.091097308488614
chopin_ballade_4,Levitsky18M,1.0442775553430268,483,26.293995859213247,71.2215320910973,80.12422360248446,223.9579999999961,10387.760166666623,882.4404641131839,38.923395445134574
chopin_ballade_4,LuEric04M,1.0041334843509706,483,0.6211180124223602,2.691511387163561,3.5196687370600417,45617.57800000004,68944.4008333333,39908.0918983782,0.2070393374741201
chopin_ballade_4,MiyashitaM04M,1.0230951251635745,483,42.028985507246375,78.05383022774328,85.30020703933747,133.33333333333286,26649.47949999987,1251.9825134575592,54.037267080745345
chopin_ballade_4,Mizumoto02M,1.0051058372485124,483,37.68115942028986,73.49896480331263,80.74534161490683,156.77049999999326,16923.4376666667,1043.7543131469977,47.4120082815735
chopin_ballade_4,Nikiforov13M,1.0668171390594536,483,30.22774327122153,71.01449275362319,76.3975155279503,206.50999999986652,21034.423854166675,1526.2174342650126,47.4120082815735
bps_23_1,Duepree05M,9.307291441790799,1046,0.0,0.0,0.0,268551.04150000005,544309.8953333335,273911.52836073935,0.0
bps_23_1,Guo03M,9.683984171353146,1046,0.0,0.0,0.09560229445506692,240614.32300000006,503229.1666666667,249591.49582265777,0.0
bps_23_1,LiuC02M,10.69685939730324,1046,0.0,0.0,0.0,252927.0835,495261.45800000016,252382.98203855957,0.0
bps_23_1,Mizumoto06M,10.544919225775283,1046,0.0,0.0,0.09560229445506692,255614.19250000003,498064.06233333336,255589.011277645,0.0
bps_23_1,Teo02M,9.74756015184503,1046,0.0,0.0,0.0,266883.91925,535763.2816666669,268249.3855609465,0.0
bps_23_1,Yi02M,9.736146146983383,1046,0.0,0.0,0.0,274252.9295833333,536210.8073333334,275563.2073663958,0.0
